Name,Code
Vetemjöl,101145716_ST
Tipo 00 Siktat Vetemjöl,101248845_ST
Vetemjöl,101243524_ST
Jasminris,101220577_ST
Parboiled Ris,101234821_ST
Långkornigt Ris,101352143_ST
Basmatiris,101277483_ST
Penne Rigate Pasta,101240218_ST
Makaroner Pasta,101302991_ST
Spaghetti Pasta,101240219_ST
Spaghetti Pasta,100087978_ST
Mellanmjölk Längre Hållbarhet,101233933_ST
Mjölk Längre Hållbarhet 3%,101233931_ST
Mjölk Färsk 3%,101125998_ST
Ägg 24p Frigående Inomhus Medium,101187348_ST
Ägg 6p Frigående Inomhus Large,101334752_ST
Smör Normalsaltat 82%,101017249_ST
Smör Normalsaltat 80%,101090926_ST
Normalsaltat Gårdsgoda Smör & Raps 75%,101231483_ST
Smör & Raps Normalsaltat 75%,101244335_ST
Sallad Isberg Klass 1,101273878_KG
Sallad Sweet Gem Klass 1,100672960_ST
Babyspenat Klass 1,101281488_ST
Småbladsmix Ruccola Röd/grön Klass 1,101281472_ST
Tomat Klass 1,100152264_KG
Kvisttomat Import Klass 1,100152282_KG
Tomater Babyplommon Kvist Klass 1,100819660_ST
Tomat Babyplommon Hink Klass 1,101267404_ST
Gurka Eko Klass 1,101254251_ST
Gurka Sverige Klass 1,100594965_ST
Saltgurka Skivad,101350773_ST
Saltgurka Hel,101243958_ST
Kyckling Bröstfilé Sverige,101223961_ST
Kyckling Bröstfilé Sverige,101053976_KG
Laxfilé Portionsbitar Frysta/4-pack,101263061_ST
Laxfärs Fryst,101327491_ST
Pinklax Portionsbitar Fryst,101306409_ST
Gulaschsoppa Österrikisk,100592823_ST
Gulaschsoppa,101341881_ST
Gulaschsoppa Österrikisk 2 Port,101176088_ST
Gulaschsoppa,100897120_ST
Tomatsoppa Mild,100842313_ST
Tomatsoppa,101340309_ST
Toscansk Tomatsoppa,101026006_ST
Tonfisk Vatten 3x170g,101361686_ST
Tonfisk Vatten,101361685_ST
Tonfisk Vatten,101458683_ST
Tonfisk i Olja,101228250_ST
Bryggkaffe Mellanrost,101291230_ST
Kharisma Mörkrost Bryggkaffe,101225750_ST
Bryggkaffe Mellanrost,101268569_ST
Forest Fruit Tea Svart Te Pyramid,100480178_ST
Svarta Vinbär Svart Te,101274109_ST
English Breakfast Svart Te,100020969_ST
Chai & Vanilj Örtte,101499081_ST
O'boy Original,101307358_ST
O'boy Less Sugar,101307337_ST
Tigo Chokladdryck,101545141_ST
Pucko Original Chokladmjölk,101231346_ST
Sourcream Onion,101250980_ST
Dillchips,101250927_ST
Västkustchips Havsalt&vinäger,101250964_ST
Grillchips,101235685_ST
S-märke Supersurt,101219084_ST
Tutti Frutti Sour,101252646_ST
Gott & Blandat Supersur,101197249_ST
Gott & Blandat Juicy Giants,101545428_ST
Karl Fazer Mjölkchoklad Chokladkaka,101288362_ST
Excellence Mild 70% Chokladkaka,101179861_ST
Kinder Maxi,101283040_ST
